Reconstruction lambda,SNR,Data length,MNSE
0.005,1000,1,1.0387
0.005,1000,10,92.3202
0.005,1000,20,0.86758
0.005,1000,30,0.86757
0.005,1000,40,0.85794
0.005,1000,50,0.94561
0.005,1000,60,7.9416e-05
0.005,1000,70,3.7498e-05
0.005,1000,80,3.7307e-05
0.005,1000,90,3.2517e-05
0.005,1000,100,2.8137e-05
0.005,1000,1,1.0265
0.005,1000,10,14.0399
0.005,1000,20,1.1166
0.005,1000,30,0.88301
0.005,1000,40,0.83445
0.005,1000,50,0.93695
0.005,1000,60,0.6007
0.005,1000,70,0.61383
0.005,1000,80,0.60806
0.005,1000,90,0.60531
0.005,1000,100,0.60565
0.005,1000,1,1.0252
0.005,1000,10,5.9003
0.005,1000,20,3.0681
0.005,1000,30,0.95505
0.005,1000,40,20.3033
0.005,1000,50,29.9622
0.005,1000,60,28.714
0.005,1000,70,0.95505
0.005,1000,80,0.95505
0.005,1000,90,0.95505
0.005,1000,100,0.95505
0.005,1000,1,0.99516
0.005,1000,10,6.5632
0.005,1000,20,9.8048
0.005,1000,30,5.6725
0.005,1000,40,0.90403
0.005,1000,50,0.90403
0.005,1000,60,22.5117
0.005,1000,70,3.3955
0.005,1000,80,0.90403
0.005,1000,90,0.90403
0.005,1000,100,0.90403
0.005,1000,1,0.99468
0.005,1000,10,2.6433
0.005,1000,20,2.6855
0.005,1000,30,0.88112
0.005,1000,40,0.88112
0.005,1000,50,0.64354
0.005,1000,60,0.0063198
0.005,1000,70,0.0022352
0.005,1000,80,0.0022792
0.005,1000,90,0.0023067
0.005,1000,100,0.0022671
0.005,1000,1,1.0169
0.005,1000,10,1
0.005,1000,20,1
0.005,1000,30,0.70475
0.005,1000,40,0.60285
0.005,1000,50,0.0021684
0.005,1000,60,0.0023376
0.005,1000,70,0.0020854
0.005,1000,80,0.0020564
0.005,1000,90,0.0020649
0.005,1000,100,0.002031
0.005,1000,1,1.0243
0.005,1000,10,1.067
0.005,1000,20,3.3433
0.005,1000,30,1.418
0.005,1000,40,0.24126
0.005,1000,50,0.00011287
0.005,1000,60,0.00011017
0.005,1000,70,5.4535e-05
0.005,1000,80,3.7375e-05
0.005,1000,90,3.7425e-05
0.005,1000,100,3.1941e-05
0.005,1000,1,1.0136
0.005,1000,10,2.9077
0.005,1000,20,1.813
0.005,1000,30,1.3721
0.005,1000,40,0.99495
0.005,1000,50,0.036023
0.005,1000,60,0.010834
0.005,1000,70,0.011217
0.005,1000,80,0.011574
0.005,1000,90,0.011308
0.005,1000,100,0.01057
0.005,1000,1,1.0081
0.005,1000,10,125.5266
0.005,1000,20,1.0839
0.005,1000,30,0.44618
0.005,1000,40,0.45783
0.005,1000,50,0.78851
0.005,1000,60,0.00035716
0.005,1000,70,0.00011587
0.005,1000,80,0.00015269
0.005,1000,90,0.00017573
0.005,1000,100,0.00017871
0.005,1000,1,1.0461
0.005,1000,10,1.1515
0.005,1000,20,1.1552
0.005,1000,30,0.73273
0.005,1000,40,0.18685
0.005,1000,50,0.18663
0.005,1000,60,0.18745
0.005,1000,70,0.18792
0.005,1000,80,0.18819
0.005,1000,90,0.18855
0.005,1000,100,0.18896
0.005,1000,1,1.0193
0.005,1000,10,32.0713
0.005,1000,20,1.3817
0.005,1000,30,1.1193
0.005,1000,40,0.71963
0.005,1000,50,0.61107
0.005,1000,60,8.7445e-05
0.005,1000,70,9.1434e-05
0.005,1000,80,9.4248e-05
0.005,1000,90,9.6123e-05
0.005,1000,100,9.544e-05
0.005,1000,1,1.0384
0.005,1000,10,3.992
