Reconstruction lambda,SNR,Data length,MNSE
0.005,1000,90,0.079192
0.005,1000,91,0.079186
0.005,1000,92,0.079176
0.005,1000,93,0.07918
0.005,1000,94,0.079183
0.005,1000,95,0.079195
0.005,1000,96,0.079193
0.005,1000,97,0.079198
0.005,1000,98,0.0792
0.005,1000,99,0.079205
0.005,1000,100,0.079194
0.005,1000,1,1.013
0.005,1000,2,1.0002
0.005,1000,3,3.9351
0.005,1000,4,4.1985
0.005,1000,5,4.4136
0.005,1000,6,2.3662
0.005,1000,7,1.9117
0.005,1000,8,1.3279
0.005,1000,9,1.0827
0.005,1000,10,1.0146
0.005,1000,11,1.7528
0.005,1000,12,1.0169
0.005,1000,13,4.1334
0.005,1000,14,1.249
0.005,1000,15,3.622
0.005,1000,16,3.6437
0.005,1000,17,3.6566
0.005,1000,18,3.6587
0.005,1000,19,3.6507
0.005,1000,20,3.6322
0.005,1000,21,3.4781
0.005,1000,22,2.4072
0.005,1000,23,1.1903
0.005,1000,24,1.5077
0.005,1000,25,3.211
0.005,1000,26,3.2206
0.005,1000,27,3.2022
0.005,1000,28,3.0892
0.005,1000,29,1.7592
0.005,1000,30,1.6277
0.005,1000,31,2.0214
0.005,1000,32,2.2394
0.005,1000,33,2.3444
0.005,1000,34,1.211
0.005,1000,35,1.2074
0.005,1000,36,1.2115
0.005,1000,37,1.2157
0.005,1000,38,1.1981
0.005,1000,39,1.1978
0.005,1000,40,1.1367
0.005,1000,41,1.7418
0.005,1000,42,1.8013
0.005,1000,43,1.1514
0.005,1000,44,1.1469
0.005,1000,45,1.1713
0.005,1000,46,1.3267
0.005,1000,47,1.307
0.005,1000,48,1.3838
0.005,1000,49,0.94636
0.005,1000,50,0.94447
0.005,1000,51,1.2446
0.005,1000,52,1.6601
0.005,1000,53,0.81246
0.005,1000,54,0.87565
0.005,1000,55,0.98441
0.005,1000,56,0.00044613
0.005,1000,57,0.00044479
0.005,1000,58,0.00044387
0.005,1000,59,0.00044503
0.005,1000,60,0.00044518
0.005,1000,61,0.00044379
0.005,1000,62,0.00044484
0.005,1000,63,0.00044648
0.005,1000,64,0.00044755
0.005,1000,65,0.00044827
0.005,1000,66,0.00044889
0.005,1000,67,0.00044956
0.005,1000,68,0.00045046
0.005,1000,69,0.00045162
0.005,1000,70,0.00045317
0.005,1000,71,0.00045546
0.005,1000,72,0.00045856
0.005,1000,73,0.00046292
0.005,1000,74,0.00047247
0.005,1000,75,0.00047106
0.005,1000,76,0.00047207
0.005,1000,77,0.00047824
0.005,1000,78,0.00047594
0.005,1000,79,0.00047473
0.005,1000,80,0.00047397
0.005,1000,81,0.00047298
0.005,1000,82,0.0004712
0.005,1000,83,0.00046971
0.005,1000,84,0.00046851
0.005,1000,85,0.00046757
0.005,1000,86,0.00046657
0.005,1000,87,0.000466
0.005,1000,88,0.0004654
0.005,1000,89,0.00046485
0.005,1000,90,0.00046641
0.005,1000,91,0.00046799
0.005,1000,92,0.00046876
0.005,1000,93,0.00046904
0.005,1000,94,0.00046888
0.005,1000,95,0.0004684
0.005,1000,96,0.00046765
0.005,1000,97,0.82759
0.005,1000,98,0.89665
0.005,1000,99,0.8277
0.005,1000,100,0.86895
0.005,1000,1,1.0164
0.005,1000,2,14.0604
0.005,1000,3,7.6783
0.005,1000,4,1.6536
0.005,1000,5,1.668
0.005,1000,6,1.2932
0.005,1000,7,1.8194
0.005,1000,8,10.9154
0.005,1000,9,5.8342
0.005,1000,10,48.8424
0.005,1000,11,10.6508
0.005,1000,12,1.143
0.005,1000,13,1.6217
0.005,1000,14,1.8782
0.005,1000,15,1.0134
0.005,1000,16,3.9617
0.005,1000,17,1.6738
0.005,1000,18,5.9806
0.005,1000,19,5.906
0.005,1000,20,1.1368
0.005,1000,21,1.8109
0.005,1000,22,1.6805
0.005,1000,23,1.1609
0.005,1000,24,1.9437
0.005,1000,25,1.865
0.005,1000,26,3.0545
0.005,1000,27,1.0887
0.005,1000,28,1.2232
0.005,1000,29,8.0927
0.005,1000,30,0.90395
0.005,1000,31,0.90444
0.005,1000,32,0.90435
0.005,1000,33,0.90379
0.005,1000,34,0.9064
0.005,1000,35,0.90766
0.005,1000,36,1.0039
0.005,1000,37,1.0012
0.005,1000,38,1.6969
0.005,1000,39,0.64302
0.005,1000,40,0.67985
0.005,1000,41,0.66456
0.005,1000,42,1.0008
0.005,1000,43,1.0008
0.005,1000,44,1.0009
0.005,1000,45,0.25097
0.005,1000,46,1.0001
0.005,1000,47,1.9141
0.005,1000,48,0.075115
0.005,1000,49,11.8225
0.005,1000,50,17.8954
0.005,1000,51,1.0132
0.005,1000,52,1.0048
0.005,1000,53,1.0017
0.005,1000,54,1.0143
0.005,1000,55,0.074779
0.005,1000,56,0.074688
0.005,1000,57,0.96105
0.005,1000,58,1.0148
0.005,1000,59,0.074468
0.005,1000,60,0.07442
0.005,1000,61,0.074393
0.005,1000,62,0.074378
0.005,1000,63,1.1687
0.005,1000,64,1.1228
0.005,1000,65,0.074584
0.005,1000,66,0.074475
0.005,1000,67,0.074493
0.005,1000,68,0.074513
0.005,1000,69,0.074538
0.005,1000,70,0.074563
0.005,1000,71,0.074617
0.005,1000,72,0.074636
0.005,1000,73,0.074655
0.005,1000,74,0.074672
0.005,1000,75,0.074693
0.005,1000,76,0.074715
0.005,1000,77,0.07476
0.005,1000,78,0.074772
0.005,1000,79,0.074724
0.005,1000,80,0.074738
0.005,1000,81,0.074774
0.005,1000,82,0.074772
0.005,1000,83,0.074771
0.005,1000,84,0.074781
0.005,1000,85,0.074791
0.005,1000,86,0.074788
0.005,1000,87,0.074796
0.005,1000,88,0.0748
0.005,1000,89,0.074858
0.005,1000,90,0.074859
0.005,1000,91,0.074856
0.005,1000,92,0.074857
0.005,1000,93,0.074857
0.005,1000,94,0.074857
0.005,1000,95,0.074858
0.005,1000,96,0.074857
0.005,1000,97,0.074858
0.005,1000,98,0.074858
0.005,1000,99,0.074857
0.005,1000,100,0.074858
0.005,1000,1,1.0075
0.005,1000,2,1.9453
0.005,1000,3,28.6329
0.005,1000,4,1.9434
0.005,1000,5,28.4107
0.005,1000,6,28.3435
0.005,1000,7,27.2469
0.005,1000,8,11.5367
0.005,1000,9,2.2022
0.005,1000,10,1.3866
0.005,1000,11,1.3763
0.005,1000,12,1.4418
0.005,1000,13,3.3749
0.005,1000,14,2.5132
0.005,1000,15,1.3177
0.005,1000,16,1.2759
0.005,1000,17,1.5035
0.005,1000,18,1.9302
0.005,1000,19,1.0002
0.005,1000,20,1.2341
0.005,1000,21,1.6178
0.005,1000,22,1.241
0.005,1000,23,2.0085
0.005,1000,24,1.3909
0.005,1000,25,1.6251
0.005,1000,26,1.0759
0.005,1000,27,1.2294
0.005,1000,28,1.2196
0.005,1000,29,1.1877
0.005,1000,30,1.001
0.005,1000,31,1.0007
0.005,1000,32,1.0014
0.005,1000,33,1.0016
0.005,1000,34,1.0006
