Reconstruction lambda,SNR,Data points,Fisher information, RNMSE
0.005,0,9,2.9065e-141,1.3605e-05
0.005,0,10,8.249e-127,1.4628e-05
0.005,0,1,0,1.058
0.005,0,2,4.9139e-281,4.486
0.005,0,3,2.3215e-251,1.1759
0.005,0,4,2.4909e-225,1.1142
0.005,0,5,2.6896e-205,1.1118
0.005,0,6,3.6079e-188,1.2207
0.005,0,7,8.4384e-172,4.6124e-05
0.005,0,8,3.0323e-156,5.0891e-05
0.005,0,9,2.648e-141,2.7299e-05
0.005,0,10,8.4291e-127,2.7306e-05
0.005,0,1,0,1.0337
0.005,0,2,4.0535e-265,1.097
0.005,0,3,3.9418e-241,1.1447
0.005,0,4,3.5674e-221,1.0424
0.005,0,5,7.5084e-204,2.412e-05
0.005,0,6,2.8704e-186,1.5458e-05
0.005,0,7,1.1626e-169,1.1087e-05
0.005,0,8,6.697e-154,8.7077e-06
0.005,0,9,7.1339e-140,8.0969e-06
0.005,0,10,4.1377e-125,7.1149e-06
0.005,0,1,0,1.0622
0.005,0,2,6.6293e-281,1000.6383
0.005,0,3,1.0173e-245,1.0111
0.005,0,4,5.747e-223,1.0377
0.005,0,5,1.2515e-205,1.005
0.005,0,6,4.4499e-188,1.9211e-05
0.005,0,7,9.3942e-172,2.2353e-05
0.005,0,8,3.8464e-156,2.1951e-05
0.005,0,9,1.7704e-141,1.4837e-05
0.005,0,10,2.0871e-127,1.2929e-05
0.005,0,1,0,1.028
0.005,0,2,2.5209e-270,4.4937
0.005,0,3,1.4165e-244,1.0162
0.005,0,4,1.982e-222,1.1072
0.005,0,5,4.3551e-204,1.0631
0.005,0,6,5.1713e-187,3.1524e-05
0.005,0,7,1.9183e-170,2.8326e-05
0.005,0,8,2.6069e-155,2.9557e-05
0.005,0,9,3.9924e-141,1.5767e-05
0.005,0,10,5.7228e-126,1.517e-05
0.005,0,1,0,1.0466
0.005,0,2,4.4743e-278,180.8863
0.005,0,3,9.3624e-246,1.0013
0.005,0,4,2.3931e-223,1.6602
0.005,0,5,1.2128e-204,1.2485
0.005,0,6,2.6569e-187,5.8512e-05
0.005,0,7,5.1152e-171,4.3322e-05
0.005,0,8,6.615e-156,4.2462e-05
0.005,0,9,4.4703e-141,3.9623e-05
0.005,0,10,3.9399e-126,2.5902e-05
0.005,0,1,0,1.0359
0.005,0,2,2.1912e-269,2.0478
0.005,0,3,1.4487e-241,2.1571
0.005,0,4,9.6834e-222,1.2437
0.005,0,5,1.8956e-203,1.1414
0.005,0,6,8.0788e-187,2.1593e-05
0.005,0,7,8.4065e-171,2.0096e-05
0.005,0,8,1.2181e-155,1.9278e-05
0.005,0,9,5.6589e-141,1.1485e-05
0.005,0,10,7.4523e-127,1.1098e-05
0.005,0,1,0,1.0362
0.005,0,2,2.9998e-265,1.0358
0.005,0,3,1.1657e-239,1.0482
0.005,0,4,1.3314e-219,1
0.005,0,5,2.5677e-202,1.1187
0.005,0,6,1.4714e-186,0.00018498
0.005,0,7,1.5249e-170,6.6662e-05
0.005,0,8,5.2568e-156,9.6811e-06
0.005,0,9,8.4742e-141,7.9667e-06
0.005,0,10,1.3845e-125,9.3888e-06
0.005,0,1,0,1.0642
0.005,0,2,1.0619e-277,69.9717
0.005,0,3,1.2333e-246,1.0063
0.005,0,4,2.9218e-224,1.0419
0.005,0,5,5.4929e-205,0.75019
0.005,0,6,6.0564e-187,3.5508e-05
0.005,0,7,1.271e-170,3.3743e-05
0.005,0,8,1.479e-155,1.934e-05
0.005,0,9,1.3284e-140,1.9856e-05
0.005,0,10,1.2037e-125,1.6456e-05
0.005,0,1,0,1.0404
0.005,0,2,6.4986e-278,31.608
0.005,0,3,5.0024e-246,1.0315
0.005,0,4,3.3868e-222,1.3351
0.005,0,5,4.7414e-204,0.89319
0.005,0,6,1.3338e-187,7.6597e-05
0.005,0,7,1.4162e-171,4.6383e-05
0.005,0,8,2.4001e-156,2.9758e-05
0.005,0,9,7.3318e-141,3.0227e-05
0.005,0,10,7.9198e-127,2.6545e-05
0.005,0,1,0,1.0686
0.005,0,2,9.828e-273,31.9215
0.005,0,3,5.1463e-245,1.0014
0.005,0,4,8.8658e-222,0.99993
0.005,0,5,1.1545e-204,4.3115e-05
0.005,0,6,3.8876e-187,3.3949e-05
0.005,0,7,2.4081e-170,3.5864e-05
0.005,0,8,2.8102e-156,3.6206e-05
0.005,0,9,9.575e-141,1.8417e-05
0.005,0,10,1.8264e-126,1.5913e-05
0.005,0,1,0,1.0821
0.005,0,2,9.4921e-277,1.0313
0.005,0,3,5.6444e-243,0.99988
0.005,0,4,1.8616e-219,0.00044628
0.005,0,5,3.295e-204,0.00013221
0.005,0,6,5.4319e-186,0.00015076
0.005,0,7,1.1989e-169,0.00014643
0.005,0,8,4.8834e-157,0.00014859
0.005,0,9,2.2027e-145,0.00014703
0.005,0,10,4.5655e-134,0.00013839
0.005,0,1,0,1.0215
0.005,0,2,2.6229e-264,1.0259
0.005,0,3,6.1966e-237,1.0893
0.005,0,4,8.5566e-219,1.0133
0.005,0,5,1.2494e-200,1.2578
0.005,0,6,1.439e-185,3.4736e-05
0.005,0,7,7.9576e-169,2.107e-05
0.005,0,8,2.5454e-154,1.2368e-05
0.005,0,9,1.382e-139,1.3976e-05
0.005,0,10,1.312e-124,1.2762e-05
0.005,0,1,0,1.0183
0.005,0,2,1.2397e-264,1.2012
0.005,0,3,1.8945e-239,1.0375
0.005,0,4,1.6426e-218,1.0159
0.005,0,5,2.0094e-202,1.3345
0.005,0,6,4.3742e-187,0.00011036
0.005,0,7,1.0505e-170,9.6312e-05
0.005,0,8,9.7149e-157,1.3238e-05
0.005,0,9,6.5342e-142,9.5257e-06
0.005,0,10,7.9337e-127,9.7393e-06
0.005,0,1,0,1.0348
0.005,0,2,9.783e-265,1.0766
0.005,0,3,9.8994e-236,1.3723
0.005,0,4,7.958e-217,1.2875
0.005,0,5,6.2656e-201,1.1781
0.005,0,6,1.4435e-185,0.00011925
0.005,0,7,3.7212e-170,1.4573e-05
0.005,0,8,6.8888e-155,9.5469e-06
0.005,0,9,1.2948e-139,7.5378e-06
0.005,0,10,4.3607e-125,7.3241e-06
0.005,0,1,0,1.024
0.005,0,2,1.0486e-267,1.2812
0.005,0,3,2.5029e-241,1.3169
0.005,0,4,2.1538e-221,1.2002
0.005,0,5,2.1008e-203,1.0624
0.005,0,6,9.1458e-187,0.00012489
0.005,0,7,1.1656e-170,5.5514e-05
0.005,0,8,4.0913e-156,3.3867e-05
0.005,0,9,9.2046e-141,1.3155e-05
0.005,0,10,3.5554e-126,8.6894e-06
0.005,0,1,0,1.0308
0.005,0,2,1.8625e-269,2.3227
0.005,0,3,4.0836e-244,2.1475
0.005,0,4,4.9607e-221,1.2167
0.005,0,5,8.2559e-204,1.1327
0.005,0,6,9.4634e-187,4.1475e-05
0.005,0,7,1.5009e-170,3.0985e-05
0.005,0,8,8.8091e-156,3.1262e-05
0.005,0,9,1.3938e-140,2.8917e-05
0.005,0,10,5.1791e-127,1.3997e-05
0.005,0,1,0,1.0324
0.005,0,2,1.5823e-272,7.6354
0.005,0,3,8.5485e-244,1.01
0.005,0,4,3.7293e-221,1.2531
0.005,0,5,1.5925e-203,1.2892
0.005,0,6,1.228e-186,4.3882e-05
0.005,0,7,7.9616e-171,1.8261e-05
0.005,0,8,1.0654e-155,1.7148e-05
0.005,0,9,1.3569e-141,1.9477e-05
0.005,0,10,2.3015e-126,1.9093e-05
0.005,0,1,0,1.0321
0.005,0,2,2.0181e-266,1.0208
0.005,0,3,6.0754e-239,1.0031
0.005,0,4,5.3227e-219,1.0157
0.005,0,5,2.7655e-202,0.00021188
0.005,0,6,8.4874e-187,5.9289e-05
0.005,0,7,2.8114e-170,5.2922e-05
0.005,0,8,2.4954e-154,1.1984e-05
0.005,0,9,6.6503e-140,9.5609e-06
0.005,0,10,2.72e-125,7.7497e-06
0.005,0,1,0,1.0143
0.005,0,2,7.6477e-267,1.1689
0.005,0,3,1.2309e-241,1.0917
0.005,0,4,1.1014e-221,1.2124
0.005,0,5,1.3025e-203,1.1028
0.005,0,6,7.6803e-187,1.0192
0.005,0,7,1.1581e-170,2.6238e-05
0.005,0,8,6.789e-156,2.319e-05
0.005,0,9,3.5981e-141,2.3251e-05
0.005,0,10,1.7122e-126,2.2898e-05
0.005,0,1,0,1.0429
0.005,0,2,1.8106e-279,309.4235
0.005,0,3,3.1553e-247,1.3558
0.005,0,4,5.331e-222,1.1033
0.005,0,5,8.6977e-204,8.2207e-05
0.005,0,6,3.4512e-187,7.8269e-05
0.005,0,7,8.2327e-172,5.0873e-05
0.005,0,8,1.6311e-156,5.109e-05
0.005,0,9,7.4548e-142,2.9357e-05
0.005,0,10,7.2915e-127,2.4314e-05
0.005,0,1,0,1.0486
0.005,0,2,1.8628e-270,4.3817
0.005,0,3,3.0334e-245,1.4511
0.005,0,4,2.4545e-222,1.3417
0.005,0,5,5.4465e-204,0.95385
0.005,0,6,1.9497e-187,3.1937e-05
0.005,0,7,1.02e-170,2.0625e-05
0.005,0,8,7.4141e-156,1.573e-05
0.005,0,9,9.2578e-141,1.524e-05
0.005,0,10,3.8793e-127,1.4358e-05
0.005,0,1,0,1.0708
0.005,0,2,1.1818e-273,66.6805
0.005,0,3,1.6458e-244,1.0545
0.005,0,4,5.0666e-221,1.416
0.005,0,5,1.3125e-202,2.3403e-05
0.005,0,6,1.5603e-186,1.7758e-05
0.005,0,7,6.3794e-171,1.596e-05
0.005,0,8,1.8362e-157,1.4846e-05
0.005,0,9,1.8241e-141,1.1047e-05
0.005,0,10,3.8543e-127,8.8891e-06
0.005,0,1,0,1.0595
0.005,0,2,3.1273e-272,18.0032
0.005,0,3,3.6712e-245,1.0006
0.005,0,4,2.225e-221,1.5427
0.005,0,5,1.403e-203,1.3083
0.005,0,6,5.4481e-187,1.1219
0.005,0,7,1.8876e-170,1.3558e-05
0.005,0,8,1.3102e-155,1.4721e-05
0.005,0,9,2.3619e-141,9.0821e-06
0.005,0,10,4.4375e-126,5.9354e-06
0.005,0,1,0,1.0307
0.005,0,2,1.0535e-268,4.6784
0.005,0,3,2.8475e-240,4.6465
0.005,0,4,7.217e-222,1.5431
0.005,0,5,8.757e-205,1.4738
0.005,0,6,1.7942e-188,4.1402e-05
0.005,0,7,9.5472e-172,4.1183e-05
0.005,0,8,1.9388e-157,2.7133e-05
0.005,0,9,1.4369e-142,2.5171e-05
0.005,0,10,2.4214e-128,2.4319e-05
0.005,0,1,0,1.084
0.005,0,2,3.6421e-280,288.607
0.005,0,3,1.0394e-244,1.0057
0.005,0,4,6.2541e-222,1.0168
0.005,0,5,1.9416e-204,1.0038
0.005,0,6,2.6108e-188,5.2871e-05
0.005,0,7,2.0376e-171,1.5808e-05
0.005,0,8,2.1632e-156,1.6621e-05
0.005,0,9,4.9341e-141,1.1747e-05
0.005,0,10,2.6595e-126,1.181e-05
0.005,0,1,0,1.0404
0.005,0,2,1.9402e-269,3.684
0.005,0,3,2.4275e-243,2.9797
0.005,0,4,3.266e-219,2.0237
0.005,0,5,1.0501e-202,3.2003e-05
0.005,0,6,4.2813e-186,4.1853e-05
0.005,0,7,1.5859e-172,4.1722e-05
0.005,0,8,9.2226e-161,2.9902e-05
0.005,0,9,4.7166e-149,1.5353e-05
0.005,0,10,2.2336e-134,1.529e-05
0.005,0,1,0,1.0584
0.005,0,2,1.0649e-277,172.1491
0.005,0,3,1.3215e-239,1.0026
0.005,0,4,2.7621e-224,1.0009
0.005,0,5,3.0557e-209,1.08
0.005,0,6,3.8177e-190,1.0378
0.005,0,7,1.1074e-173,1.92e-05
0.005,0,8,7.3282e-157,1.9379e-05
0.005,0,9,5.0309e-142,1.1281e-05
0.005,0,10,2.9511e-127,6.0322e-06
0.005,0,1,0,1.023
0.005,0,2,1.594e-270,1.2752
0.005,0,3,6.8866e-247,1.0013
0.005,0,4,2.5826e-226,1.2016
0.005,0,5,1.0625e-204,1.1213
0.005,0,6,5.7502e-188,1.1732
0.005,0,7,6.4684e-171,8.259e-05
0.005,0,8,9.9598e-156,7.6041e-05
0.005,0,9,4.8885e-141,2.6897e-05
0.005,0,10,1.7859e-126,2.6122e-05
0.005,0,1,0,1.0311
0.005,0,2,4.4853e-271,1.7831
0.005,0,3,1.9179e-244,1.4605
0.005,0,4,3.0782e-223,1.0079
0.005,0,5,1.5669e-205,1.0139
0.005,0,6,1.8052e-187,2.9255e-05
0.005,0,7,2.9517e-171,3.238e-05
0.005,0,8,1.2943e-155,2.0322e-05
0.005,0,9,1.2483e-140,1.4157e-05
0.005,0,10,8.3614e-127,1.5162e-05
0.005,0,1,0,1.0623
0.005,0,2,1.7525e-278,263.7097
0.005,0,3,1.8663e-246,1.0683
0.005,0,4,1.1818e-223,1.0583
0.005,0,5,1.0039e-204,5.7279e-05
0.005,0,6,1.6087e-187,4.9262e-05
0.005,0,7,4.7909e-172,4.9763e-05
0.005,0,8,1.3254e-156,3.4199e-05
0.005,0,9,7.1791e-142,3.3692e-05
0.005,0,10,2.6058e-127,3.7052e-05
0.005,0,1,0,1.0374
0.005,0,2,1.0811e-266,1.5915
0.005,0,3,1.2579e-241,1.4535
0.005,0,4,1.1409e-221,1.3668
0.005,0,5,2.5886e-204,3.3577e-05
0.005,0,6,2.3172e-187,3.2135e-05
0.005,0,7,1.694e-171,3.2605e-05
0.005,0,8,4.7856e-156,1.9969e-05
0.005,0,9,1.1625e-140,2.2888e-05
0.005,0,10,6.13e-127,2.1949e-05
0.005,0,1,0,1.0425
0.005,0,2,5.1492e-280,242.7577
0.005,0,3,5.5066e-247,1.026
0.005,0,4,1.8029e-224,1.2155
0.005,0,5,1.7633e-204,1.2998
0.005,0,6,1.152e-187,3.418e-05
0.005,0,7,2.2794e-171,2.8059e-05
0.005,0,8,2.8267e-156,2.227e-05
0.005,0,9,1.1464e-141,2.1009e-05
0.005,0,10,2.071e-127,1.7674e-05
0.005,0,1,0,1.0306
0.005,0,2,8.0996e-266,1.0536
0.005,0,3,9.8757e-240,1.2287
0.005,0,4,2.2273e-220,1.0932
0.005,0,5,3.6474e-203,1.2708
0.005,0,6,2.3892e-186,3.1087e-05
0.005,0,7,1.4838e-170,1.6094e-05
0.005,0,8,6.2628e-155,8.334e-06
0.005,0,9,4.1254e-140,5.464e-06
0.005,0,10,4.0182e-126,6.255e-06
0.005,0,1,0,1.0444
0.005,0,2,4.3569e-273,15.7728
0.005,0,3,6.5266e-245,1.0095
0.005,0,4,5.5212e-221,1.2362
0.005,0,5,1.688e-203,1.1648
0.005,0,6,2.2435e-186,4.6785e-05
0.005,0,7,1.2342e-170,3.7688e-05
0.005,0,8,2.1381e-155,3.8339e-05
0.005,0,9,9.6477e-141,2.4044e-05
0.005,0,10,1.0224e-126,1.7356e-05
0.005,0,1,0,1.0312
0.005,0,2,1.2823e-272,8.5268
0.005,0,3,5.4937e-244,1.0406
0.005,0,4,7.9768e-222,1.1043
0.005,0,5,1.4386e-203,1.1851
0.005,0,6,3.1697e-187,1.0612
0.005,0,7,4.54e-171,4.2067e-05
0.005,0,8,4.7593e-156,3.5852e-05
0.005,0,9,1.0013e-140,1.783e-05
0.005,0,10,1.4134e-126,1.3997e-05
0.005,0,1,0,1.0361
0.005,0,2,2.2433e-275,78.9239
0.005,0,3,6.1826e-245,1.0451
0.005,0,4,1.0305e-221,1.5597
0.005,0,5,4.6241e-204,1.0996
0.005,0,6,2.2537e-187,4.7469e-05
0.005,0,7,1.0763e-170,2.2697e-05
0.005,0,8,1.3626e-155,2.2209e-05
0.005,0,9,1.4677e-140,1.9547e-05
0.005,0,10,2.9327e-126,1.7019e-05
0.005,0,1,0,1.0306
0.005,0,2,2.3527e-273,7.745
0.005,0,3,4.3099e-245,1.0025
0.005,0,4,2.0835e-222,1.5659
0.005,0,5,6.961e-205,1.3939
0.005,0,6,6.9213e-188,1.0395
0.005,0,7,2.2402e-171,0.00011629
0.005,0,8,1.6289e-156,2.1396e-05
0.005,0,9,6.2933e-142,1.4369e-05
0.005,0,10,4.9303e-127,1.4343e-05
0.005,0,1,0,1.0327
0.005,0,2,4.0654e-265,1.8473
0.005,0,3,1.0173e-239,1.1566
0.005,0,4,1.402e-221,1.5701
0.005,0,5,1.5185e-203,0.00027457
0.005,0,6,6.5171e-186,1.0365
0.005,0,7,3.1449e-170,1.7594e-05
0.005,0,8,5.2051e-155,1.8384e-05
0.005,0,9,1.6222e-140,1.2364e-05
0.005,0,10,3.3437e-126,1.4431e-05
0.005,0,1,0,1.0251
0.005,0,2,2.607e-274,3.6819
0.005,0,3,3.8461e-246,1.2269
0.005,0,4,4.846e-223,1.1349
0.005,0,5,5.3419e-205,1.2666
0.005,0,6,1.6032e-187,4.7824e-05
0.005,0,7,4.1528e-171,1.0723e-05
0.005,0,8,3.8035e-156,1.9067e-05
0.005,0,9,1.1183e-140,1.4044e-05
0.005,0,10,1.0007e-126,1.3982e-05
0.005,0,1,0,1.0447
0.005,0,2,4.8628e-264,1.2706
0.005,0,3,1.0489e-239,1.3542
0.005,0,4,4.2189e-220,1.2714
0.005,0,5,5.7273e-202,1.2651
0.005,0,6,6.1668e-185,1.2475
0.005,0,7,1.6175e-169,2.4885e-05
0.005,0,8,5.6818e-155,1.8437e-05
0.005,0,9,2.9253e-140,1.0697e-05
0.005,0,10,1.6994e-126,6.6194e-06
0.005,0,1,0,1.028
0.005,0,2,2.6697e-265,1.2761
0.005,0,3,9.9687e-241,1.234
0.005,0,4,3.8358e-222,1.1431
0.005,0,5,3.7601e-204,0.75063
0.005,0,6,3.159e-187,1.1101
0.005,0,7,1.1546e-170,2.7643e-05
0.005,0,8,2.8168e-155,1.8602e-05
0.005,0,9,1.1847e-140,1.8182e-05
0.005,0,10,5.1414e-126,7.7804e-06
0.005,0,1,0,1.0388
0.005,0,2,1.4229e-278,101.6914
0.005,0,3,1.1678e-246,1.0616
0.005,0,4,1.0346e-223,1.2624
0.005,0,5,3.1469e-205,0.96828
0.005,0,6,7.2173e-188,2.7713e-05
0.005,0,7,7.237e-172,2.8675e-05
0.005,0,8,2.5839e-156,2.2092e-05
0.005,0,9,8.9256e-142,1.2407e-05
0.005,0,10,1.3108e-126,1.2589e-05
0.005,0,1,0,1.03
0.005,0,2,1.3218e-273,52.3361
0.005,0,3,4.5735e-246,1.006
0.005,0,4,2.1721e-222,1.4549
0.005,0,5,7.682e-205,1.3991
0.005,0,6,1.9237e-187,3.7228e-05
0.005,0,7,6.5254e-171,3.3838e-05
0.005,0,8,9.4493e-156,3.1335e-05
0.005,0,9,1.8532e-141,2.9952e-05
0.005,0,10,5.2978e-127,2.2965e-05
0.005,0,1,0,1.0089
0.005,0,2,1.3885e-266,4.0517
0.005,0,3,8.9889e-240,1.1396
0.005,0,4,1.9626e-220,1.1596
0.005,0,5,2.9132e-203,1.0855
0.005,0,6,7.6104e-187,5.6449e-05
0.005,0,7,4.4021e-171,4.5161e-05
0.005,0,8,1.7097e-155,4.3443e-05
0.005,0,9,8.4873e-142,3.084e-05
0.005,0,10,1.8351e-128,2.0534e-05
0.005,0,1,0,1.0495
0.005,0,2,5.0917e-279,1.0037
0.005,0,3,2.3112e-251,1.2409
0.005,0,4,5.2763e-227,0.76059
0.005,0,5,1.4857e-205,0.94948
0.005,0,6,1.9863e-188,2.5629e-05
0.005,0,7,2.8184e-172,2.3496e-05
0.005,0,8,5.0208e-157,1.7874e-05
0.005,0,9,1.5809e-142,1.7649e-05
0.005,0,10,1.8297e-127,2.2373e-05
0.005,0,1,0,1.0473
0.005,0,2,3.5164e-278,1.1346
0.005,0,3,7.2503e-251,1.024
0.005,0,4,3.4979e-225,1.3396
0.005,0,5,3.5907e-207,0.89097
0.005,0,6,3.1563e-191,0.86878
0.005,0,7,2.6855e-176,0.00020551
0.005,0,8,1.5768e-159,3.401e-05
0.005,0,9,1.011e-143,3.6717e-05
0.005,0,10,1.6215e-128,2.2373e-05
0.005,0,1,0,1.0335
0.005,0,2,1.1832e-267,2.1118
0.005,0,3,5.2409e-238,1.9379
0.005,0,4,1.3799e-222,1.6068
0.005,0,5,1.4677e-203,0.66033
0.005,0,6,5.301e-187,0.98504
0.005,0,7,5.3234e-171,3.5117e-05
0.005,0,8,9.6868e-156,2.1787e-05
0.005,0,9,8.8536e-141,1.8768e-05
0.005,0,10,3.5473e-126,1.5483e-05
0.005,0,1,0,1.0261
0.005,0,2,1.7674e-275,5.918
0.005,0,3,4.1677e-247,1.0193
0.005,0,4,5.629e-225,1.1517
0.005,0,5,4.6464e-205,1.0604
0.005,0,6,2.0059e-188,0.00010772
0.005,0,7,4.7999e-172,5.6028e-05
0.005,0,8,9.9576e-157,4.6271e-05
0.005,0,9,9.292e-142,3.6635e-05
0.005,0,10,2.6071e-127,3.0957e-05
0.005,0,1,0,1.0552
0.005,0,2,5.0172e-277,143.8259
0.005,0,3,8.0232e-246,1.0519
0.005,0,4,5.5285e-221,1.1445
0.005,0,5,3.918e-204,0.61615
0.005,0,6,3.3628e-187,4.9386e-05
0.005,0,7,9.7562e-171,4.2904e-05
0.005,0,8,8.9935e-156,3.9118e-05
0.005,0,9,1.5319e-140,3.593e-05
0.005,0,10,1.9805e-126,1.095e-05
0.005,0,1,0,1.0688
0.005,0,2,2.1717e-275,165.9433
0.005,0,3,1.1515e-244,1.0176
0.005,0,4,1.249e-220,1.2707
0.005,0,5,9.8337e-204,1.0625
0.005,0,6,3.4489e-187,7.6517e-05
0.005,0,7,4.6598e-171,3.4077e-05
0.005,0,8,1.1916e-155,1.7118e-05
0.005,0,9,8.4568e-141,8.5505e-06
0.005,0,10,7.172e-126,7.5555e-06
0.005,0,1,0,1.0513
0.005,0,2,2.1668e-277,187.6458
0.005,0,3,5.3339e-245,1.0631
0.005,0,4,2.4373e-222,1.2894
0.005,0,5,1.5685e-204,0.60441
0.005,0,6,2.5827e-188,6.4521e-05
0.005,0,7,1.6894e-171,4.4687e-05
0.005,0,8,1.1138e-156,3.4453e-05
0.005,0,9,1.2649e-141,2.988e-05
0.005,0,10,1.6526e-127,2.4251e-05
0.005,0,1,0,1.0028
0.005,0,2,3.3739e-267,1.4647
0.005,0,3,1.768e-240,1.0239
0.005,0,4,3.7086e-221,1.0078
0.005,0,5,9.4369e-204,1.037
0.005,0,6,8.1005e-187,1.0508
0.005,0,7,4.497e-170,2.428e-05
0.005,0,8,2.8795e-155,1.1278e-05
0.005,0,9,2.2387e-140,1.0099e-05
0.005,0,10,7.4833e-126,4.9364e-06
0.005,0,1,0,1.0197
0.005,0,2,4.1298e-264,1.2527
0.005,0,3,2.2814e-241,1.0484
0.005,0,4,6.6394e-222,1.0649
0.005,0,5,2.5886e-204,0.69374
0.005,0,6,5.1443e-187,1.0617
0.005,0,7,4.126e-171,2.1129e-05
0.005,0,8,1.3548e-155,1.217e-05
0.005,0,9,5.7599e-141,1.5153e-05
0.005,0,10,3.9043e-126,1.5001e-05
0.005,0,1,0,1.0557
0.005,0,2,6.6507e-280,1.0023
0.005,0,3,5.6106e-243,8.6508
0.005,0,4,1.139e-219,1.0142
0.005,0,5,2.7193e-203,1.0119
0.005,0,6,1.0925e-188,0.00018459
0.005,0,7,1.0873e-169,0.00010184
0.005,0,8,1.0209e-155,0.00010074
0.005,0,9,3.1808e-143,9.8029e-05
0.005,0,10,6.4689e-134,0.00010966
0.005,0,1,0,1.0508
0.005,0,2,5.6823e-278,486.0762
0.005,0,3,2.0401e-247,1.0083
0.005,0,4,2.6891e-223,1.1524
0.005,0,5,1.5855e-205,1.1764
0.005,0,6,4.5642e-188,1.1287
0.005,0,7,4.5828e-172,4.0986e-05
0.005,0,8,1.4814e-156,1.8405e-05
0.005,0,9,5.8948e-142,1.7802e-05
0.005,0,10,6.651e-128,2.0896e-05
0.005,0,1,0,1.0629
0.005,0,2,1.0196e-279,66.0022
0.005,0,3,3.9663e-246,1.0484
0.005,0,4,1.5487e-223,1.4826
0.005,0,5,1.3176e-205,5.0996e-05
0.005,0,6,2.887e-188,4.0018e-05
0.005,0,7,1.1498e-172,3.9519e-05
0.005,0,8,5.5678e-157,3.6027e-05
0.005,0,9,5.2192e-142,3.4369e-05
0.005,0,10,2.9419e-127,2.4476e-05
0.005,0,1,0,1.0217
0.005,0,2,2.6336e-265,3.453
0.005,0,3,3.3116e-240,1.0359
0.005,0,4,1.3659e-220,1.0138
0.005,0,5,5.5027e-203,1.0189
0.005,0,6,9.8335e-186,1.0301
0.005,0,7,5.4478e-170,1.5187e-05
0.005,0,8,9.1271e-155,1.5262e-05
0.005,0,9,1.9671e-140,1.0443e-05
0.005,0,10,5.742e-126,6.4971e-06
0.005,0,1,0,1.0264
0.005,0,2,3.057e-266,1.303
0.005,0,3,5.3093e-241,1.3727
0.005,0,4,6.4494e-222,1.446
0.005,0,5,1.3871e-203,1.0726
0.005,0,6,1.9739e-186,0.00018416
0.005,0,7,1.4368e-170,4.6491e-05
0.005,0,8,3.9609e-156,2.515e-05
0.005,0,9,1.1318e-140,1.2395e-05
0.005,0,10,2.4499e-127,1.1587e-05
0.005,0,1,0,1.0224
0.005,0,2,1.5808e-267,2.024
0.005,0,3,2.1127e-243,1.0518
0.005,0,4,3.0135e-221,1.0546
0.005,0,5,1.3352e-203,1.16
0.005,0,6,4.4524e-187,3.8982e-05
0.005,0,7,6.7869e-171,1.8786e-05
0.005,0,8,2.8949e-155,1.2792e-05
0.005,0,9,1.3489e-140,9.6218e-06
0.005,0,10,3.2521e-126,1.4173e-05
0.005,0,1,0,1.012
0.005,0,2,5.1294e-266,1.001
0.005,0,3,5.7542e-240,1.1503
0.005,0,4,1.5713e-221,1.4789
0.005,0,5,5.896e-204,1.0789
0.005,0,6,1.8064e-187,7.5456e-05
0.005,0,7,2.6159e-171,3.9191e-05
0.005,0,8,6.3399e-156,2.7993e-05
0.005,0,9,4.6371e-141,2.1381e-05
0.005,0,10,1.2612e-126,1.5173e-05
0.005,0,1,0,1.0461
0.005,0,2,7.5022e-275,32.3981
0.005,0,3,3.5084e-245,1.0111
0.005,0,4,4.5529e-221,1.2222
0.005,0,5,7.0926e-204,0.83185
0.005,0,6,1.0963e-187,0.00018912
0.005,0,7,1.2859e-171,0.00017685
0.005,0,8,1.3198e-156,2.7359e-05
0.005,0,9,8.5806e-142,2.6338e-05
0.005,0,10,4.7973e-128,2.2517e-05
0.005,0,1,0,1.0396
0.005,0,2,3.3175e-261,1.058
0.005,0,3,5.6208e-240,5.1088
0.005,0,4,7.8478e-223,0.75303
0.005,0,5,1.6484e-203,0.75372
0.005,0,6,9.6184e-186,6.0969e-05
0.005,0,7,3.8252e-170,1.653e-05
0.005,0,8,4.3747e-154,2.0265e-05
0.005,0,9,6.7467e-140,1.428e-05
0.005,0,10,1.509e-125,1.2952e-05
0.005,0,1,0,1.0162
0.005,0,2,7.3108e-262,2.8012
0.005,0,3,3.081e-229,2.3004
0.005,0,4,9.1914e-211,1.0554
0.005,0,5,1.8404e-201,1.0033
0.005,0,6,1.4835e-189,4.571e-05
0.005,0,7,3.0802e-175,3.8638e-05
0.005,0,8,4.0068e-161,4.4464e-05
0.005,0,9,4.987e-148,2.2767e-05
0.005,0,10,9.096e-136,2.0696e-05
0.005,0,1,0,1.0473
0.005,0,2,8.3744e-275,73.8883
0.005,0,3,1.8505e-245,1.1305
0.005,0,4,1.7852e-220,1.5781
0.005,0,5,1.4018e-203,0.00010623
0.005,0,6,2.3661e-187,4.7849e-05
0.005,0,7,1.2394e-171,4.6889e-05
0.005,0,8,4.7136e-156,4.6372e-05
0.005,0,9,7.5494e-140,2.2812e-05
0.005,0,10,1.2273e-126,2.6041e-05
0.005,0,1,0,1.0174
0.005,0,2,2.1438e-272,2.7763
0.005,0,3,7.0597e-246,1.015
0.005,0,4,5.2279e-222,1.039
