Reconstruction lambda,SNR,Data points,Fisher information, RNMSE
0.005,0,10,9.6739e-127,3.1818e-05
0.005,0,1,0,1.0474
0.005,0,2,1.9955e-279,251.3364
0.005,0,3,3.4103e-246,1.0015
0.005,0,4,1.7867e-223,1.3854
0.005,0,5,4.1589e-205,3.8636e-05
0.005,0,6,4.1405e-187,2.391e-05
0.005,0,7,1.0205e-171,2.1445e-05
0.005,0,8,4.9965e-156,2.3997e-05
0.005,0,9,3.1797e-141,2.0471e-05
0.005,0,10,2.2579e-127,2.0026e-05
0.005,0,1,0,1.051
0.005,0,2,2.1225e-271,7.3059
0.005,0,3,6.4731e-245,1.0496
0.005,0,4,6.3437e-221,1.5534
0.005,0,5,6.8177e-204,1.0225
0.005,0,6,3.2971e-187,6.244e-05
0.005,0,7,5.119e-171,5.1058e-05
0.005,0,8,1.1509e-155,2.7086e-05
0.005,0,9,1.2495e-140,1.8783e-05
0.005,0,10,2.2213e-126,9.7952e-06
0.005,0,1,0,1.0651
0.005,0,2,2.0693e-279,646.8345
0.005,0,3,2.199e-245,1.0247
0.005,0,4,1.8503e-222,1.2591
0.005,0,5,6.8732e-205,1.0586
0.005,0,6,3.4225e-187,2.0124e-05
0.005,0,7,1.0699e-171,2.2683e-05
0.005,0,8,5.5698e-156,1.4981e-05
0.005,0,9,2.2962e-141,1.348e-05
0.005,0,10,1.6869e-127,1.7304e-05
0.005,0,1,0,1.0271
0.005,0,2,5.4848e-271,3.8553
0.005,0,3,8.8441e-246,1.093
0.005,0,4,9.9129e-225,1.0007
0.005,0,5,1.843e-205,1.1101
0.005,0,6,1.2077e-187,7.2755e-05
0.005,0,7,1.0222e-171,5.2374e-05
0.005,0,8,2.8366e-156,2.0464e-05
0.005,0,9,3.4017e-141,1.1656e-05
0.005,0,10,1.7715e-126,9.9069e-06
0.005,0,1,0,1.0739
0.005,0,2,6.1535e-282,0.99972
0.005,0,3,5.2068e-241,8.5038
0.005,0,4,3.2118e-221,1.3273
0.005,0,5,4.7284e-204,0.00064291
0.005,0,6,2.8712e-191,0.00063192
0.005,0,7,4.4415e-178,0.0006182
0.005,0,8,2.1269e-163,5.3631e-05
0.005,0,9,1.0095e-146,5.81e-05
0.005,0,10,3.2318e-131,5.7213e-05
0.005,0,1,0,1.0401
0.005,0,2,2.1833e-265,1.0907
0.005,0,3,1.8165e-239,1.123
0.005,0,4,2.4569e-220,1.0063
0.005,0,5,7.1382e-203,1.2287
0.005,0,6,3.244e-186,1.2268
0.005,0,7,2.1266e-170,1.9888e-05
0.005,0,8,6.5007e-155,1.9279e-05
0.005,0,9,3.624e-140,1.8924e-05
0.005,0,10,4.1765e-126,1.9777e-05
0.005,0,1,0,1.0397
0.005,0,2,1.6585e-273,9.0173
0.005,0,3,3.32e-246,1.2765
0.005,0,4,9.332e-224,1.1611
0.005,0,5,3.1335e-204,1.1641
0.005,0,6,1.5714e-187,1.1971
0.005,0,7,1.2898e-171,2.0393e-05
0.005,0,8,5.6789e-156,1.8309e-05
0.005,0,9,4.9111e-141,1.0272e-05
0.005,0,10,5.9115e-127,9.3584e-06
0.005,0,1,0,1.0468
0.005,0,2,1.7177e-270,13.8474
0.005,0,3,2.7826e-244,1.3594
0.005,0,4,1.7769e-223,1.0017
0.005,0,5,3.4097e-205,5.7385e-05
0.005,0,6,4.5128e-187,1.6037e-05
0.005,0,7,3.7721e-171,1.2845e-05
0.005,0,8,2.8477e-156,7.3981e-06
0.005,0,9,1.1343e-141,1.0084e-05
0.005,0,10,2.5369e-127,6.2004e-06
0.005,0,1,0,1.0436
0.005,0,2,1.6044e-269,7.1436
0.005,0,3,8.7529e-244,7.1814
0.005,0,4,1.5293e-221,1.2158
0.005,0,5,8.3916e-204,1.2938
0.005,0,6,2.5463e-187,0.00011325
0.005,0,7,1.069e-171,3.184e-05
0.005,0,8,9.7858e-157,3.6827e-05
0.005,0,9,9.2456e-142,1.3793e-05
